League,Game_ID,Game_Date,Fixture_Time_Sydney,Home_Team,Away_Team,Full_Home_Line,Full_Total,Full_Margin_SD,Full_Total_SD,Scenario_Out_Home_Line,Scenario_Out_Total,Q1_Home_Line,Q1_Total,Q2_Home_Line,Q2_Total,H1_Home_Line,H1_Total,Q1_Margin_SD,Q1_Total_SD,H1_Margin_SD,H1_Total_SD,Q1_Period_Model,H1_Period_Model,Period_Training_Games,Period_Training_Through,Player_Training_Through,Lineup_Source,Injury_Scenario,Model_Version,Generated_At_UTC
NBL,/matches/perth-wildcats-v-nz-breakers-men-26-09-2026,2026-09-26,2026-09-26 09:30 PM AEST,perth wildcats,nz breakers,3.9388459715518573,162.63130792586236,14.966159169545495,18.38419616337968,3.945943808989785,162.63130792586236,1.007075566477176,41.58121889996977,1.00317633444267,41.420223214873644,2.010251900919846,83.00144211484341,7.725894923335464,8.49330658506461,11.607332945416609,12.013740632842248,margin:league;total:league,margin:league;total:league,378,2026-09-25,2026-09-24,last_completed_proxy,in_out_review,incumbent_spm_gated,2026-09-25 22:29:13 UTC
NBL,/matches/adelaide-36ers-v-cairns-taipans-men-27-09-2026,2026-09-27,2026-09-27 04:00 PM AEST,adelaide 36ers,cairns taipans,-2.9202092649221,203.19944799239212,14.966159169545495,18.38419616337968,-1.9212513779408233,203.19944799239212,-0.7466327500348164,51.95359266972381,-0.7437419100285092,51.75243684826537,-1.4903746600633256,103.70602951798918,7.725894923335464,8.49330658506461,11.607332945416609,12.013740632842248,margin:league;total:league,margin:league;total:league,378,2026-09-25,2026-09-24,official_roster_tracker,in_out_review,incumbent_spm_gated,2026-09-25 22:29:13 UTC
NBL,/matches/sydney-kings-v-illawarra-hawks-men-27-09-2026,2026-09-27,2026-09-27 06:00 PM AEST,sydney kings,illawarra hawks,-21.36438927602714,192.23799729466614,14.966159169545495,18.38419616337968,-21.36438927602714,192.23799729466614,-5.462400557927141,49.15099280911673,-5.441251035537994,48.96068819636609,-10.903651593465135,98.11168100548282,7.725894923335464,8.49330658506461,11.607332945416609,12.013740632842248,margin:league;total:league,margin:league;total:league,378,2026-09-25,2026-09-24,official_roster_tracker,in_out_review,incumbent_spm_gated,2026-09-25 22:29:13 UTC
NBL,/matches/nz-breakers-v-cairns-taipans-men-30-09-2026,2026-09-30,2026-09-30 05:30 PM AEST,nz breakers,cairns taipans,-0.9695214950123212,173.9161710515541,14.966159169545495,18.38419616337968,-0.9695214950123212,173.9161710515541,-0.24788514601820022,44.466508146364404,-0.24692537523792663,44.29434109277038,-0.49481052125612685,88.76084923913479,7.725894923335464,8.49330658506461,11.607332945416609,12.013740632842248,margin:league;total:league,margin:league;total:league,378,2026-09-25,2026-09-24,last_completed_proxy,resolved,incumbent_spm_gated,2026-09-25 22:29:13 UTC
NBL,/matches/sydney-kings-v-brisbane-bullets-men-30-09-2026,2026-09-30,2026-09-30 07:30 PM AEST,sydney kings,brisbane bullets,-15.562386158385111,189.05847587581968,14.966159169545495,18.38419616337968,-15.562386158385111,189.05847587581968,-3.9789570268515666,48.3380596918693,-3.9635511554160265,48.150902623313165,-7.942508182267593,96.48896231518246,7.725894923335464,8.49330658506461,11.607332945416609,12.013740632842248,margin:league;total:league,margin:league;total:league,378,2026-09-25,2026-09-24,official_roster_tracker,resolved,incumbent_spm_gated,2026-09-25 22:29:13 UTC
