League,Game_ID,Game_Date,Fixture_Time_Sydney,Home_Team,Away_Team,Team,Player,Player_Key,Market,Projected_Minutes,Projected_Stat,Projection_P10,Projection_P90,Dispersion,History_Games,Role_Persistence,Role_Games,Role_Minutes_Median,Role_Minutes_MAD,Role_Continuity,Recent_Participation_Status,Games_Played_Last_4,Played_Last_Game,Days_Since_Appearance,Minutes_Trend_Ratio,Returning_Teammate_Risk,Role_Confidence_Status,Player_Training_Through,Status,Lineup_Source,Injury_Scenario,Model_Version,Generated_At_UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Mitch Norton,mitch norton,assists,27.681907133961936,3.080212142283325,1,6,1.4277966101694917,126,0.9598744845674367,10,28.6333333333333,3.4000000000000004,1,stable_active,4,TRUE,3,0.8139065204847084,FALSE,stable_active,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Mitch Norton,mitch norton,threes,27.681907133961936,0.8282853065785193,-0,2,1.2,126,0.9598744845674367,10,28.6333333333333,3.4000000000000004,1,stable_active,4,TRUE,3,0.8139065204847084,FALSE,stable_active,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Rio Bruton,rio bruton,points,8.539405799679784,3.9216266380097204,1,7,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Rio Bruton,rio bruton,rebounds,8.539405799679784,1.5483743986179674,-0,4,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Rio Bruton,rio bruton,assists,8.539405799679784,0.7989197069548604,-0,2,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Rio Bruton,rio bruton,threes,8.539405799679784,0.420295498419255,-0,1,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Josh Duach,josh duach,points,8.539405799679784,3.9216266380097204,1,7,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Josh Duach,josh duach,rebounds,8.539405799679784,1.5483743986179674,-0,4,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Josh Duach,josh duach,assists,8.539405799679784,0.7989197069548604,-0,2,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Josh Duach,josh duach,threes,8.539405799679784,0.420295498419255,-0,1,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
